"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Webkul Recurring Stripe Payment Method","Webkul Recurring Stripe Payment Method"
"API Publishable Key","API Publishable Key"
"API Secret Key","API Secret Key"
"Set Name Display on Form","Set Name Display on Form"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Add Duration Type","Add Duration Type"
Disable,Disable
Delete,Delete
"Do you want to delete selected images?","Do you want to delete selected images?"
Duration,Duration
Created,Created
Modified,Modified
"Add Subscription Type","Add Subscription Type"
Name,Name
Unsubscribe,Unsubscribe
"Do you want to Unsubscribe selected Subscription?","Do you want to Unsubscribe selected Subscription?"
"Customer Name","Customer Name"
"Custom Fee","Custom Fee"
"My Subscription","My Subscription"
"Manage Subscriptions","Manage Subscriptions"
"Recurring","Recurring"
"Subscribe Now","Subscribe Now"
"Inital Fee :","Inital Fee :"
"Subscriptions Charge :","Subscriptions Charge :"
"Select Start Date","Select Start Date"
"Subscriptions Types","Subscriptions Types"
"Attention","Attention"
"You have not selected any card.","You have not selected any card."
"Select Subscription plan","Select Subscription plan"
"Subscription Title","Subscription Title"
"Subscription Description","Subscription Description"
"Subscription Charge","Subscription Charge",
"Do you want to Unsubscribe?","Do you want to Unsubscribe?"
"OK","OK"
"Cancel","Cancel"
"Enable Output","Enable Output"
"Store view","Store view"
"Something went wrong with the payment.","Something went wrong with the payment."
"Start dates and Duration types of all added subscriptions must be same","Start dates and Duration types of all added subscriptions must be same"
"You can not add other product with subscription product","You can not add other product with subscription product"
"You can not add subscription product with other product","You can not add subscription product with other product"
