AffiliateAccount,AffiliateAccount
"Payment Done Successfully","Payment Done Successfully"
"Banner Deleted Successfully","Banner Deleted Successfully"
"Addd New Banner","Addd New Banner"
Banner,Banner
"Manage Banner","Manage Banner"
"A total of %1 record(s) were Deleted.","A total of %1 record(s) were Deleted."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Not Able To Upload Image","Not Able To Upload Image"
"Banner Has Been Saved Successfully","Banner Has Been Saved Successfully"
"Something went wrong while editing the request.","Something went wrong while editing the request."
"Something went wrong while saving data","Something went wrong while saving data"
"Discount Coupons","Discount Coupons"
"Denomination Rules","Denomination Rules"
"Edit Discount Denomination Rule","Edit Discount Denomination Rule"
"New Rule","New Rule"
Rules,Rules
"Add Discount Denomination Rule","Add Discount Denomination Rule"
"A total of %1 rules(s) have been deleted.","A total of %1 rules(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Discount Rule successfully saved.","Discount Rule successfully saved."
"Something went wrong while saving the data.","Something went wrong while saving the data."
"Account Has Been Approved","Account Has Been Approved"
"Account Deleted Successfully","Account Deleted Successfully"
"Account Has Been DisApproved","Account Has Been DisApproved"
"Account has been edited And Save Successfully","Account has been edited And Save Successfully"
"No Data To Save","No Data To Save"
"You saved the customer.","You saved the customer."
"Something went wrong while saving the customer.","Something went wrong while saving the customer."
"Request Cancel Successfully","Request Cancel Successfully"
Withdrwal,Withdrwal
Request,Request
"Withdrwal Request","Withdrwal Request"
"Manage withdrawl","Manage withdrawl"
"Banners And Links","Banners And Links"
"Manage Comission","Manage Comission"
"Please login first","Please login first"
"You have insufficient balance","You have insufficient balance"
"""Discount Coupon Generated SuccessFully:"" .","""Discount Coupon Generated SuccessFully:"" ."
"Affiliate Request","Affiliate Request"
"Payment Settings","Payment Settings"
"The setting information has been saved.","The setting information has been saved."
"Referal Section","Referal Section"
"Please enter an email address.","Please enter an email address."
"Please enter a valid email address.","Please enter a valid email address."
"Unable To Send Email","Unable To Send Email"
"Your invitation is successfully sent to %1 recipients","Your invitation is successfully sent to %1 recipients"
"View Transaction Information","View Transaction Information"
"My Wallet","My Wallet"
"Withdrawl Request Has Been Cancelled Successfully","Withdrawl Request Has Been Cancelled Successfully"
"Manage Request Withrawl","Manage Request Withrawl"
"You Successfully Requested","You Successfully Requested"
"Successfully Saved","Successfully Saved"
"View Withdrawl Information","View Withdrawl Information"
No,No
Yes,Yes
Active,Active
"Bank Transfer","Bank Transfer"
"Bank Name","Bank Name"
"Bank Branch Number","Bank Branch Number"
"Bank Swift Code","Bank Swift Code"
"Bank Account Name","Bank Account Name"
"Bank Account Number","Bank Account Number"
"Check/Money Order","Check/Money Order"
"Cheque Payee Name","Cheque Payee Name"
PayPal,PayPal
"Email Associated with PayPal Merchant Account","Email Associated with PayPal Merchant Account"
"Store Credit","Store Credit"
"Store Credit Name","Store Credit Name"
"Driving License","Driving License"
"Pan Card","Pan Card"
Passport,Passport
Other,Other
"Order # ","Order # "
"Order Date: ","Order Date: "
"Sold to:","Sold to:"
"Ship to:","Ship to:"
"Payment Method:","Payment Method:"
"Shipping Method:","Shipping Method:"
"Total Shipping Charges","Total Shipping Charges"
Title,Title
Number,Number
"Select Payment Method","Select Payment Method"
Fixed,Fixed
Percentage,Percentage
"Both Cart Discount and Affiliate Discount","Both Cart Discount and Affiliate Discount"
"Only Cart","Only Cart"
"Only Affiliate","Only Affiliate"
"Fixed Per Cart","Fixed Per Cart"
"Percentage Per Cart","Percentage Per Cart"
Complete,Complete
Offline,Offline
Online,Online
Google,Google
Facebook,Facebook
Twitter,Twitter
Guest,Guest
"Registered Customer","Registered Customer"
Edit,Edit
"Are you sure you want to Approve?","Are you sure you want to Approve?"
Approve,Approve
"Are you sure you want to Disapprove?","Are you sure you want to Disapprove?"
Disapprove,Disapprove
"Total Balance","Total Balance"
"Total Amount Earned","Total Amount Earned"
"Remaining Amount","Remaining Amount"
"Pay To Affiliate","Pay To Affiliate"
"Enter Amount","Enter Amount"
Proceed,Proceed
"PO  Number: %1","PO  Number: %1"
"Address Book","Address Book"
"Manage Addresses","Manage Addresses"
"Default Billing Address","Default Billing Address"
"Edit Address","Edit Address"
"Default Shipping Address","Default Shipping Address"
"Balance Summary","Balance Summary"
"Total Amount","Total Amount"
"Your Lifetime Sales Amount is: ","Your Lifetime Sales Amount is: "
"Earned Amount","Earned Amount"
"Your Earned Amount is: ","Your Earned Amount is: "
"Your Remaining Amount is: ","Your Remaining Amount is: "
"Contact Information","Contact Information"
Newsletters,Newsletters
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
"Welcome to our Affiliate Channel-!","Welcome to our Affiliate Channel-!"
"How Does It Work?","How Does It Work?"
"Affiliate by coupon","Affiliate by coupon"
"Sign up","Sign up"
"Upload Identity Information","Upload Identity Information"
"Upload Address Document","Upload Address Document"
"Upload Company Document(if you own the company)","Upload Company Document(if you own the company)"
"Terms and Conditions","Terms and Conditions"
Banners,Banners
"Affiliate Link","Affiliate Link"
"Banner Name:-","Banner Name:-"
"Banner Type:-","Banner Type:-"
"Banner Validity:-","Banner Validity:-"
"Banner Link:-","Banner Link:-"
"Paste The Link In Your Website Or Forum If You Have.","Paste The Link In Your Website Or Forum If You Have."
"Refer Via Social Network","Refer Via Social Network"
ID,ID
Commission,Commission
Balance,Balance
"Request Withdrawl","Request Withdrawl"
"See Withdrawl Policy","See Withdrawl Policy"
"Withdrawl Policy","Withdrawl Policy"
"You can request for withdrawl when you have minimum %1 balance in your account","You can request for withdrawl when you have minimum %1 balance in your account"
"You cannot request for another withdrawl until you do not have any pending request","You cannot request for another withdrawl until you do not have any pending request"
"You have a authority to cancel request within %1 days","You have a authority to cancel request within %1 days"
"Purchase Order Number","Purchase Order Number"
"* Required Fields","* Required Fields"
"Identity Type","Identity Type"
"Address Type","Address Type"
"Company Information","Company Information"
"Change Email","Change Email"
"Change Password","Change Password"
"Change Email and Password","Change Email and Password"
"Current Password","Current Password"
"New Password","New Password"
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm New Password","Confirm New Password"
"Go back","Go back"
"Please enter your email address below to receive a password reset link.","Please enter your email address below to receive a password reset link."
"Reset My Password","Reset My Password"
"Registered Affiliate Member","Registered Affiliate Member"
"Sign In","Sign In"
"Forgot Password?","Forgot Password?"
"Personal Information","Personal Information"
"Sign-in Information","Sign-in Information"
"Document Information","Document Information"
"Select Document Type","Select Document Type"
"Choose Identity file","Choose Identity file"
Upload,Upload
"Choose Address file","Choose Address file"
"Choose Company file","Choose Company file"
"Referring Website","Referring Website"
"Terms & Conditions","Terms & Conditions"
"I agree to the terms and conditions","I agree to the terms and conditions"
"Create an Account","Create an Account"
"<< Back To Login","<< Back To Login"
"Set a New Password","Set a New Password"
"PO Number","PO Number"
"Logged Out","Logged Out"
"You have signed out and will go to our homepage in 5 seconds.","You have signed out and will go to our homepage in 5 seconds."
"Don't Have An Account? Sign Up..","Don't Have An Account? Sign Up.."
"Recent Orders","Recent Orders"
"View All","View All"
"Order #","Order #"
"Ship To","Ship To"
"Order Total","Order Total"
Actions,Actions
"You have placed Affiliate Orders.","You have placed Affiliate Orders."
S.no,S.no
"Coupon Code","Coupon Code"
Amount,Amount
"Created At","Created At"
"Valid Till","Valid Till"
"Purchase Required","Purchase Required"
"Your Current Balance: ","Your Current Balance: "
"Referral Url and Code","Referral Url and Code"
"Referral Url","Referral Url"
"Send Invitation","Send Invitation"
"Email addresses, separated by comma","Email addresses, separated by comma"
Subject,Subject
Message,Message
Send,Send
"Shared Url","Shared Url"
Clicks,Clicks
"Google Clicks","Google Clicks"
"Facebook Clicks","Facebook Clicks"
"Twitter Clicks","Twitter Clicks"
"Email Clicks","Email Clicks"
"No Traffic Data To Show.","No Traffic Data To Show."
"Referrals Pending","Referrals Pending"
"Referrals Acknowledged","Referrals Acknowledged"
"Email Id","Email Id"
"Invited Date","Invited Date"
Pending,Pending
Joined,Joined
"You had not referred any friends Via Email.","You had not referred any friends Via Email."
"Referral Sources","Referral Sources"
"Google : ","Google : "
"Facebook : ","Facebook : "
"Twitter : ","Twitter : "
"Emails : ","Emails : "
"Referral Reports","Referral Reports"
"You don't have any discount coupons.","You don't have any discount coupons."
"Payout Discount Coupon","Payout Discount Coupon"
"Generate Discount Coupon","Generate Discount Coupon"
"Discount Coupon","Discount Coupon"
Submit,Submit
"You did not reached the Payout Limit: ","You did not reached the Payout Limit: "
"Referral Transaction List","Referral Transaction List"
Description,Description
"Transaction Type","Transaction Type"
CREDITED,CREDITED
DEBITED,DEBITED
"You had not referred any friends.","You had not referred any friends."
"Enter Your Referral Code","Enter Your Referral Code"
"Referral Code","Referral Code"
"Transaction Summary","Transaction Summary"
"Affiliate Url Seems To Be Expired or not exist..","Affiliate Url Seems To Be Expired or not exist.."
"Wallet Balance ","Wallet Balance "
"Total Wallet Amount","Total Wallet Amount"
"Your Total Credit Limit is: ","Your Total Credit Limit is: "
"Used Amount","Used Amount"
"Your used credit limit is: ","Your used credit limit is: "
"Available Amount","Available Amount"
"Your available credit limit is: ","Your available credit limit is: "
"Request For Withdrawl","Request For Withdrawl"
"Balance Withdrawl ","Balance Withdrawl "
"Total ","Total "
Orders,Orders
"View Order","View Order"
"You have placed no orders.","You have placed no orders."
"Select gender","Select gender"
Page,Page
"Previous page","Previous page"
"Next page","Next page"
"of %s pages","of %s pages"
"per page","per page"
"Total %d records found","Total %d records found"
"Export to:","Export to:"
"Select All","Select All"
"Unselect All","Unselect All"
"Select Visible","Select Visible"
"Unselect Visible","Unselect Visible"
"items selected","items selected"
Name,Name
"The information in this tab has been changed.","The information in this tab has been changed."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"Tax/VAT number","Tax/VAT number"
Withdrawl,Withdrawl
"Request Amount","Request Amount"
"Net Earn Amount","Net Earn Amount"
"Offline Payment","Offline Payment"
"Bank name","Bank name"
"Cancel Request","Cancel Request"
"%store_email,","%store_email,"
"%store_phone,","%store_phone,"
"%store_frontname,","%store_frontname,"
%subject,%subject
"Message from %customername:","Message from %customername:"
%message:,%message:
%referral_url,%referral_url
"Place Order","Place Order"
OK,OK
Affiliate,Affiliate
"Manage Affiliate Account","Manage Affiliate Account"
"Denominations Rules","Denominations Rules"
"Manage Banners","Manage Banners"
"Manage Withdrawl Request","Manage Withdrawl Request"
"Affiliate Configuration","Affiliate Configuration"
"Cedcommerce Affiliate System","Cedcommerce Affiliate System"
"Affiliate Settings","Affiliate Settings"
"Affiliate Account","Affiliate Account"
"Enable Affiliate System","Enable Affiliate System"
"Require Admin Approval","Require Admin Approval"
"Notify Admin On Account Creation","Notify Admin On Account Creation"
"Enable Terms And Condition for Signup Page","Enable Terms And Condition for Signup Page"
"Enter Terms And Condition","Enter Terms And Condition"
"Enter The Comission","Enter The Comission"
"Allow Second Order Place Comission For Guest User","Allow Second Order Place Comission For Guest User"
"Use Differnet Comission From Second order","Use Differnet Comission From Second order"
"Comission Type From Second Order","Comission Type From Second Order"
"Life Time Sales Comision","Life Time Sales Comision"
"Give Comission When Order Status Is","Give Comission When Order Status Is"
"Holding Period(in days)","Holding Period(in days)"
"Allow Comission To dedcut when credit memo is created","Allow Comission To dedcut when credit memo is created"
"Withdrawal Settings","Withdrawal Settings"
"Allow Affiliate To Use Comission As A Store Credit","Allow Affiliate To Use Comission As A Store Credit"
"Allow Affliate To Request For Withdrawl","Allow Affliate To Request For Withdrawl"
"Set Min. Amount For Withdrawl Request","Set Min. Amount For Withdrawl Request"
"Include Service Tax","Include Service Tax"
"Servicer Tax Type","Servicer Tax Type"
"Enter Service Tax Charges","Enter Service Tax Charges"
"Affiliate Will Cancel The Request Within Specify Days","Affiliate Will Cancel The Request Within Specify Days"
"Refer Friend Setting","Refer Friend Setting"
"Signup Bonus","Signup Bonus"
"Referral Reward","Referral Reward"
"Denomination Range","Denomination Range"
"Discount Coupon Validity(In Days)","Discount Coupon Validity(In Days)"
"Support Email Id","Support Email Id"
"Enable Google Sharing","Enable Google Sharing"
"Enable Facebook Sharing","Enable Facebook Sharing"
"Enable Twitter Sharing","Enable Twitter Sharing"
"Allow Affiliate To Share Link From Product Listing","Allow Affiliate To Share Link From Product Listing"
"Allow Affiliate To Share Link From Product Details Page","Allow Affiliate To Share Link From Product Details Page"
"Default Subject For Email","Default Subject For Email"
"Default Sharing Subject Content","Default Sharing Subject Content"
"Discount Configuration","Discount Configuration"
"Apply Discount To","Apply Discount To"
"Discount Type","Discount Type"
"Enter Discount Based on Discount Type","Enter Discount Based on Discount Type"
"Enable Second Order Discount","Enable Second Order Discount"
"Pay By Store Credit","Pay By Store Credit"
Enabled,Enabled
"New order Status","New order Status"
"Add New Account","Add New Account"
"Delete items","Delete items"
"Delete selected items?","Delete selected items?"
Delete,Delete
"Change status","Change status"
DisApprove,DisApprove
"Add New Banner","Add New Banner"
Enable,Enable
Disable,Disable
"Affiliate Member Name","Affiliate Member Name"
"Withdrawl Method","Withdrawl Method"
"Add New Rule","Add New Rule"
delete,delete
"Are you sure to delete selected rules?","Are you sure to delete selected rules?"
"Vendor Empty Layout","Vendor Empty Layout"
"Vendor Panel Layout","Vendor Panel Layout"
"Affiliate Dashboard","Affiliate Dashboard"
"Refer Friends","Refer Friends"
"Payout/Discount Coupon","Payout/Discount Coupon"
Withdrawls,Withdrawls
"Sign Out","Sign Out"
"Edit Affiliate Account Information","Edit Affiliate Account Information"
"Password forgotten","Password forgotten"
"You are signed out","You are signed out"
"My Affiliate Account","My Affiliate Account"
"Payout/Discount Coupons","Payout/Discount Coupons"
